NC_002946.2.1	dnaA
NC_002946.2.2099	pyrB
NC_002946.2.2100	group_249
NC_002946.2.2101	group_1047
NC_002946.2.2102	group_569
NC_002946.2.2103	group_250
NC_002946.2.2104	pykA
NC_002946.2.2105	group_1048
NC_002946.2.2106	group_2307
NC_002946.2.2107	group_3098
NC_002946.2.2108	group_570
NC_002946.2.2109	group_571
NC_002946.2.2110	group_3368
NC_002946.2.2111	group_3310
NC_002946.2.2112	gltS
NC_002946.2.2113	group_1049
NC_002946.2.2114	group_82
NC_002946.2.2116	fokIM
NC_002946.2.2117	haeIIIM_2
NC_002946.2.2118	tex
NC_002946.2.2119	galE
NC_002946.2.2120	rffG
NC_002946.2.2121	rmlA2_2
NC_002946.2.2122	rmlC
NC_002946.2.2123	group_83
NC_002946.2.2124	dnaJ_2
NC_002946.2.2133	dksA
NC_002946.2.2134	proC
NC_002946.2.2135	group_2568
NC_002946.2.2136	yggS
NC_002946.2.2137	pilT_3
NC_002946.2.2138	pilT_2
NC_002946.2.2139	yccS
NC_002946.2.2140	group_2718
NC_002946.2.2142	group_1050
NC_002946.2.2144	group_1051
NC_002946.2.2145	yqjI
NC_002946.2.2146	waaA
NC_002946.2.2147	group_2636
NC_002946.2.2148	alx
NC_002946.2.2150	murA
NC_002946.2.2151	pgk
NC_002946.2.2152	yrbA
NC_002946.2.2153	ftsX
NC_002946.2.2154	ftsE
NC_002946.2.2155	resA_2
NC_002946.2.2156	yfgD
NC_002946.2.2157	group_2151
NC_002946.2.2158	gltX
NC_002946.2.2159	group_252
NC_002946.2.2160	group_2150
NC_002946.2.2161	group_572
NC_002946.2.2162	mutS
NC_002946.2.2163	gap_1
NC_002946.2.2164	yaeB
NC_002946.2.2165	group_3329
NC_002946.2.2166	rfaC
NC_002946.2.2167	etfB
NC_002946.2.2168	etfA
NC_002946.2.2169	yigZ
NC_002946.2.2170	group_1052
NC_002946.2.2171	purD
NC_002946.2.2172	rimN
NC_002946.2.2173	group_2755
NC_002946.2.2174	group_575
NC_002946.2.2175	group_1053
NC_002946.2.2176	group_576
NC_002946.2.2177	rpoE
NC_002946.2.2178	group_3024
NC_002946.2.2179	group_3142
NC_002946.2.2180	group_1054
NC_002946.2.2181	group_577
NC_002946.2.2182	rssA_2
NC_002946.2.2183	prfB
NC_002946.2.2185	group_1055
NC_002946.2.2186	dtpT
NC_002946.2.2187	group_2991
NC_002946.2.2188	group_578
NC_002946.2.2189	sstT
NC_002946.2.2190	group_31
NC_002946.2.2191	group_2691
NC_002946.2.2192	group_3230
NC_002946.2.2193	group_2093
NC_002946.2.2194	group_3104
NC_002946.2.2195	argG
NC_002946.2.2196	yfaY
NC_002946.2.2197	sppA
NC_002946.2.2198	group_2551
NC_002946.2.2199	group_3298
NC_002946.2.2200	group_579
NC_002946.2.2201	group_1056
NC_002946.2.2202	group_1057
NC_002946.2.2203	group_1058
NC_002946.2.2204	group_1059
NC_002946.2.2205	group_1060
NC_002946.2.2206	group_1061
NC_002946.2.2207	group_1062
NC_002946.2.2208	group_1063
NC_002946.2.2211	pyrH
NC_002946.2.2212	tsf
NC_002946.2.2213	group_2099
NC_002946.2.2214	rpsB
NC_002946.2.2215	group_580
NC_002946.2.2216	group_3327
NC_002946.2.2217	group_254
NC_002946.2.2218	mqo
NC_002946.2.2219	group_581
NC_002946.2.2220	group_255
NC_002946.2.2221	map
NC_002946.2.2222	group_3035
NC_002946.2.2223	group_2415
NC_002946.2.2224	gmhA
NC_002946.2.2225	group_2213
NC_002946.2.2226	rsmI_1
NC_002946.2.2227	yceJ
NC_002946.2.2228	obgE
NC_002946.2.2229	hhaIM
NC_002946.2.2230	group_2140
NC_002946.2.2231	cysS
NC_002946.2.2232	exoA
NC_002946.2.2233	group_2298
NC_002946.2.2234	group_2171
NC_002946.2.2235	asd
NC_002946.2.2236	group_1064
NC_002946.2.2237	folD
NC_002946.2.2241	hldE
NC_002946.2.2242	birA
NC_002946.2.2243	group_2777
NC_002946.2.2244	group_2281
NC_002946.2.2245	group_1066
NC_002946.2.2246	group_584
NC_002946.2.2247	thiG
NC_002946.2.2248	group_3314
NC_002946.2.2249	thiE
NC_002946.2.2250	group_257
NC_002946.2.2251	codB
NC_002946.2.2253	tldD
NC_002946.2.2254	yecS
NC_002946.2.2255	artQ
NC_002946.2.2256	artM
NC_002946.2.2257	artJ
NC_002946.2.2258	prmC_2
NC_002946.2.2259	group_2354
NC_002946.2.2260	slyX
NC_002946.2.2261	group_1067
NC_002946.2.2262	thiF
NC_002946.2.2263	ppc
NC_002946.2.2264	gpsA
NC_002946.2.2265	group_2112
NC_002946.2.2266	zapA
NC_002946.2.2268	rplM
NC_002946.2.2269	rpsI
NC_002946.2.2270	group_3195
NC_002946.2.2271	metR
NC_002946.2.2272	group_3378
NC_002946.2.2273	petA
NC_002946.2.2274	petB
NC_002946.2.2275	petC
NC_002946.2.2276	rmuC
NC_002946.2.2277	group_586
NC_002946.2.2278	ligA_2
NC_002946.2.2279	hpt
NC_002946.2.2280	manX
NC_002946.2.2281	ptsH
NC_002946.2.2282	ptsI
NC_002946.2.2283	potA_2
NC_002946.2.2284	group_587
NC_002946.2.2287	thiC
NC_002946.2.2288	group_588
NC_002946.2.2289	group_1069
NC_002946.2.2290	group_1070
NC_002946.2.2291	group_1071
NC_002946.2.2292	pilE_7
NC_002946.2.2293	pilE_10
NC_002946.2.2294	hprA
NC_002946.2.2295	metG
NC_002946.2.2296	glmS
NC_002946.2.2297	group_1073
NC_002946.2.2298	group_642
NC_002946.2.2299	mltA
NC_002946.2.2301	efeU
NC_002946.2.2302	group_2981
NC_002946.2.2303	efeB
NC_002946.2.2304	phnA
NC_002946.2.2305	glmU
NC_002946.2.2306	hdl IVa
NC_002946.2.2308	thiB
NC_002946.2.2309	mscS
NC_002946.2.2310	ygaD
NC_002946.2.2311	msrAB
NC_002946.2.2312	ftsY
NC_002946.2.2314	group_1074
NC_002946.2.2315	group_590
NC_002946.2.2316	group_1075
NC_002946.2.2317	lpxC
NC_002946.2.2318	group_1076
NC_002946.2.2319	group_1077
NC_002946.2.2320	group_1078
NC_002946.2.2321	pilE_11
NC_002946.2.2322	group_1080
NC_002946.2.2324	group_1081
NC_002946.2.2325	group_1082
NC_002946.2.2326	group_1083
NC_002946.2.2327	pilE_4
NC_002946.2.2328	group_1084
NC_002946.2.2329	group_43
NC_002946.2.2330	plsC_2
NC_002946.2.2331	gmhB
NC_002946.2.2332	group_135
NC_002946.2.2333	mfpsA
NC_002946.2.2334	mtr
NC_002946.2.2335	ubiG
NC_002946.2.2336	thrB
NC_002946.2.2337	gntK
NC_002946.2.2338	ygbN
NC_002946.2.2339	potB
NC_002946.2.2340	group_3093
NC_002946.2.2341	nadD
NC_002946.2.2342	ybeB
NC_002946.2.2343	rlmH
NC_002946.2.2344	group_595
NC_002946.2.2345	yccA
NC_002946.2.2346	coaD
NC_002946.2.2347	group_136
NC_002946.2.2349	yusV
NC_002946.2.2350	group_2646
NC_002946.2.2351	yfhA
NC_002946.2.2352	feuB
NC_002946.2.2353	fetB
NC_002946.2.2354	hxuC
NC_002946.2.2355	groES
NC_002946.2.2356	groEL
NC_002946.2.2357	group_2857
NC_002946.2.2359	group_1085
NC_002946.2.2360	lysA
NC_002946.2.2361	group_3379
NC_002946.2.2362	cyaY
NC_002946.2.2363	group_2648
NC_002946.2.2364	luxS
NC_002946.2.2365	polA
NC_002946.2.2366	group_86
NC_002946.2.2367	hap
NC_002946.2.2368	group_1086
NC_002946.2.2369	trmE
NC_002946.2.2370	group_1087
NC_002946.2.2371	hpuB
NC_002946.2.2372	group_265
NC_002946.2.2373	group_598
NC_002946.2.2374	pabB
NC_002946.2.2375	group_266
NC_002946.2.2376	aldA
NC_002946.2.2377	group_2313
NC_002946.2.2378	gadX
NC_002946.2.2379	group_2219
NC_002946.2.2380	mlaE
NC_002946.2.2381	mlaD
NC_002946.2.2382	mlaC
NC_002946.2.2383	group_3227
NC_002946.2.2384	mlaA
NC_002946.2.2385	group_600
NC_002946.2.2386	fadM
NC_002946.2.2387	resA_3
NC_002946.2.2388	group_138
NC_002946.2.2389	rpmE
NC_002946.2.2390	group_267
NC_002946.2.2391	group_2572
NC_002946.2.2392	sspA
NC_002946.2.2393	regG
NC_002946.2.2394	group_602
NC_002946.2.2395	yqeY
NC_002946.2.2396	rpsU
NC_002946.2.2397	slt
NC_002946.2.2398	group_1089
NC_002946.2.2399	metN
NC_002946.2.2400	metP
NC_002946.2.2401	gna1946
NC_002946.2.2402	bsdB
NC_002946.2.2403	group_1090
NC_002946.2.2404	parB
NC_002946.2.2405	group_1091
NC_002946.2.2406	group_3153
NC_002946.2.2407	atpB
NC_002946.2.2408	atpE
NC_002946.2.2409	atpF
NC_002946.2.2410	atpH
NC_002946.2.2411	atpA
NC_002946.2.2412	atpG
NC_002946.2.2413	atpD
NC_002946.2.2414	atpC
NC_002946.2.2415	glyQ
NC_002946.2.2416	glyS
NC_002946.2.2417	kfoC
NC_002946.2.2418	lex1_1
NC_002946.2.2419	lgtC_1
NC_002946.2.2421	hyaD
NC_002946.2.2422	lex1_2
NC_002946.2.2423	rsmE
NC_002946.2.2424	suhB_2
NC_002946.2.2425	ychJ
NC_002946.2.2426	fabG
NC_002946.2.2427	guaA
NC_002946.2.2428	msbA
NC_002946.2.2429	fabD
NC_002946.2.2430	group_2232
NC_002946.2.2431	fabH
NC_002946.2.2432	group_608
NC_002946.2.2433	group_609
NC_002946.2.2434	group_2322
NC_002946.2.2435	plsX
NC_002946.2.2436	group_3301
NC_002946.2.2437	rpmF
NC_002946.2.2438	group_3347
NC_002946.2.2439	maf
NC_002946.2.2440	rsmI_2
NC_002946.2.2441	yidC
NC_002946.2.2442	group_1092
NC_002946.2.2443	yidD
NC_002946.2.2444	rnpA
NC_002946.2.2445	rpmH
34576_F01_00001	group_1093
34576_F01_00002	group_1094
34576_F01_00003	group_1095
34576_F01_00004	group_1096
34576_F01_00005	vapD
34576_F01_00006	group_611
34576_F01_00007	group_140
34576_F01_00009	mbeA
34576_F01_00010	group_1098
34576_F01_00024	group_1099
34576_F01_00066	pilC
34576_F01_00067	group_1100
34576_F01_00079	group_1101
34576_F01_00082	piiC_2
34576_F01_00101	wcaJ
34576_F01_00102	group_269
34576_F01_00104	group_733
34576_F01_00106	group_613
34576_F01_00107	nrdR
34576_F01_00148	group_615
34576_F01_00149	group_1104
34576_F01_00150	queE
34576_F01_00163	group_1106
34576_F01_00187	group_1107
34576_F01_00200	group_2528
34576_F01_00216	group_1108
34576_F01_00239	group_1109
34576_F01_00267	group_3118
34576_F01_00274	tbpB_1
34576_F01_00308	group_1110
34576_F01_00414	murB
34576_F01_00473	group_1111
34576_F01_00474	group_1112
34576_F01_00476	group_1113
34576_F01_00477	group_1114
34576_F01_00479	ygaZ
34576_F01_00480	group_618
34576_F01_00493	group_1115
34576_F01_00494	group_619
34576_F01_00495	group_3358
34576_F01_00505	group_1116
34576_F01_00510	group_3145
34576_F01_00523	group_1117
34576_F01_00526	group_1118
34576_F01_00535	group_1119
34576_F01_00547	group_1120
34576_F01_00548	group_271
34576_F01_00549	group_620
34576_F01_00550	group_621
34576_F01_00551	group_1121
34576_F01_00572	group_1122
34576_F01_00578	group_1123
34576_F01_00579	group_1124
34576_F01_00581	group_1125
34576_F01_00609	group_1126
34576_F01_00615	group_1127
34576_F01_00616	group_1128
34576_F01_00617	group_1129
34576_F01_00629	adaB
34576_F01_00636	group_622
34576_F01_00663	group_1130
34576_F01_00677	group_1131
34576_F01_00700	group_2926
34576_F01_00701	group_3018
34576_F01_00702	group_3072
34576_F01_00723	group_272
34576_F01_00747	ggt_2
34576_F01_00758	group_1132
34576_F01_00812	ybeD
34576_F01_00817	soj_1
34576_F01_00818	group_273
34576_F01_00819	group_1134
34576_F01_00820	group_1135
34576_F01_00821	group_1136
34576_F01_00822	group_1137
34576_F01_00823	group_1138
34576_F01_00824	group_1139
34576_F01_00825	topB
34576_F01_00826	group_1140
34576_F01_00827	group_1141
34576_F01_00828	group_1142
34576_F01_00829	group_625
34576_F01_00830	group_1143
34576_F01_00831	group_1144
34576_F01_00832	group_1145
34576_F01_00833	group_1146
34576_F01_00834	group_1147
34576_F01_00835	group_1652
34576_F01_00836	group_1148
34576_F01_00837	group_1149
34576_F01_00839	group_1150
34576_F01_00840	group_1151
34576_F01_00841	group_1152
34576_F01_00842	group_626
34576_F01_00843	group_1153
34576_F01_00844	group_627
34576_F01_00846	group_275
34576_F01_00847	group_1154
34576_F01_00848	sohA
34576_F01_00849	yhaV
34576_F01_00850	group_628
34576_F01_00851	group_1157
34576_F01_00852	group_1158
34576_F01_00853	group_1159
34576_F01_00854	group_1160
34576_F01_00855	group_1161
34576_F01_00856	group_1162
34576_F01_00857	group_1163
34576_F01_00858	group_1164
34576_F01_00859	group_1165
34576_F01_00860	group_1166
34576_F01_00861	group_1167
34576_F01_00862	group_1168
34576_F01_00863	group_1169
34576_F01_00864	group_1170
34576_F01_00865	group_1171
34576_F01_00866	traC
34576_F01_00867	group_1173
34576_F01_00868	dsbC_1
34576_F01_00869	group_1175
34576_F01_00870	group_1176
34576_F01_00871	group_1177
34576_F01_00872	group_1178
34576_F01_00873	group_1179
34576_F01_00874	group_1180
34576_F01_00875	group_1181
34576_F01_00876	group_629
34576_F01_00877	group_630
34576_F01_00878	group_631
34576_F01_00879	group_276
34576_F01_00880	group_632
34576_F01_00889	group_1182
34576_F01_00911	group_1183
34576_F01_00940	ybaQ
34576_F01_00941	group_1185
34576_F01_00942	group_1186
34576_F01_00944	group_633
34576_F01_00962	group_59
34576_F01_00978	group_1187
34576_F01_01089	group_1188
34576_F01_01114	group_1189
34576_F01_01115	group_1190
34576_F01_01140	group_1275
34576_F01_01147	group_1191
34576_F01_01148	group_1192
34576_F01_01153	group_1193
34576_F01_01154	group_1194
34576_F01_01155	group_1195
34576_F01_01160	group_1196
34576_F01_01177	group_1197
34576_F01_01185	group_1198
34576_F01_01186	group_1199
34576_F01_01187	group_1200
34576_F01_01197	group_142
34576_F01_01203	group_1201
34576_F01_01208	group_2603
34576_F01_01209	group_2704
34576_F01_01215	group_277
34576_F01_01221	group_1202
34576_F01_01222	group_1203
34576_F01_01269	group_1204
34576_F01_01270	group_1205
34576_F01_01273	group_3194
34576_F01_01281	group_1206
34576_F01_01380	group_2504
34576_F01_01405	group_1207
34576_F01_01418	glcA
34576_F01_01440	group_1208
34576_F01_01441	group_1209
34576_F01_01442	group_1210
34576_F01_01445	group_1211
34576_F01_01446	group_1212
34576_F01_01448	group_635
34576_F01_01449	group_1213
34576_F01_01450	group_143
34576_F01_01492	group_1214
34576_F01_01499	group_1215
34576_F01_01509	group_1216
34576_F01_01523	piiC_7
34576_F01_01524	group_1218
34576_F01_01558	group_1219
34576_F01_01559	group_1220
34576_F01_01562	group_1221
34576_F01_01575	group_637
34576_F01_01576	group_1222
34576_F01_01578	group_1223
34576_F01_01579	group_1224
34576_F01_01625	group_1225
34576_F01_01626	group_2727
34576_F01_01636	kojP_1
34576_F01_01657	mafB13_2
34576_F01_01662	group_1227
34576_F01_01664	group_279
34576_F01_01683	group_2883
34576_F01_01687	group_2697
34576_F01_01688	group_1228
34576_F01_01736	group_1229
34576_F01_01737	group_1230
34576_F01_01739	group_639
34576_F01_01859	group_1231
34576_F01_01917	porB
34576_F01_01974	group_1232
34576_F01_01998	group_1233
34576_F01_02024	group_9
34576_F01_02057	group_1234
34576_F01_02075	group_1235
34576_F01_02081	group_281
34576_F01_02161	group_1236
34576_F01_02162	group_1237
34576_F01_02164	group_1238
34576_F01_02175	group_1239
34576_F01_02182	group_1240
34576_F01_02185	group_1241
34576_F01_02186	group_1242
34576_F01_02213	group_1243
34576_F01_02274	kfoC_2
34903_B01_00001	group_1245
34903_B01_00003	dapE_1
34903_B01_00004	group_1247
34903_B01_00005	ybcL_1
34903_B01_00009	rfaF_1
34903_B01_00011	group_1250
34903_B01_00013	icsA_1
34903_B01_00014	group_1252
34903_B01_00015	group_1253
34903_B01_00016	group_1254
34903_B01_00017	group_61
34903_B01_00020	virB9_1
34903_B01_00021	virB8_1
34903_B01_00022	group_1256
34903_B01_00023	group_1257
34903_B01_00024	group_1258
34903_B01_00025	virB4_2
34903_B01_00026	group_1259
34903_B01_00027	group_1260
34903_B01_00028	group_1261
34903_B01_00061	group_1262
34903_B01_00068	group_1263
34903_B01_00123	group_1264
34903_B01_00172	group_1265
34903_B01_00192	group_1266
34903_B01_00222	group_1267
34903_B01_00225	group_1268
34903_B01_00248	group_1269
34903_B01_00252	group_1270
34903_B01_00331	group_1271
34903_B01_00332	group_1272
34903_B01_00484	group_1273
34903_B01_00510	group_1274
34903_B01_00545	group_87
34903_B01_00547	group_2967
34903_B01_00558	group_1276
34903_B01_00631	group_646
34903_B01_00667	group_1277
34903_B01_00737	group_1278
34903_B01_00743	piiC_4
34903_B01_00765	group_1279
34903_B01_00766	ssb_1
34903_B01_00767	topB_2
34903_B01_00768	group_1281
34903_B01_00769	traG_1
34903_B01_00770	traC_2
34903_B01_00771	group_1283
34903_B01_00772	group_145
34903_B01_00773	group_1284
34903_B01_00774	group_146
34903_B01_00776	group_1285
34903_B01_00777	relE2_2
34903_B01_00778	group_649
34903_B01_00779	group_1287
34903_B01_00780	group_1288
34903_B01_00781	group_650
34903_B01_00782	group_1289
34903_B01_00784	group_1290
34903_B01_00785	traL_1
34903_B01_00786	group_1292
34903_B01_00787	group_1293
34903_B01_00813	group_1294
34903_B01_00814	group_1295
34903_B01_00815	group_1296
34903_B01_00831	group_1297
34903_B01_00909	group_651
34903_B01_00944	group_282
34903_B01_00947	group_1298
34903_B01_00948	group_1299
34903_B01_00962	group_3343
34903_B01_01107	group_1300
34903_B01_01108	group_1301
34903_B01_01220	group_1302
34903_B01_01221	group_1303
34903_B01_01224	pilE_6
34903_B01_01225	group_652
34903_B01_01227	ftsY_2
34903_B01_01244	group_1304
34903_B01_01245	group_1305
34903_B01_01247	group_1306
34903_B01_01248	group_1307
34903_B01_01249	group_1308
34903_B01_01251	group_1309
34903_B01_01277	group_1310
34903_B01_01329	group_1311
34903_B01_01357	group_1312
34903_B01_01394	group_1313
34903_B01_01395	group_1314
34903_B01_01396	group_1315
34903_B01_01397	group_1316
34903_B01_01398	group_1317
34903_B01_01399	group_1318
34903_B01_01401	group_1319
34903_B01_01437	group_1320
34903_B01_01438	group_1321
34903_B01_01439	group_1322
34903_B01_01440	cvaA_2
34903_B01_01442	apxIB_2
34903_B01_01443	group_1323
34903_B01_01496	group_1324
34903_B01_01609	group_1325
34903_B01_01625	group_1326
34903_B01_01630	group_1327
34903_B01_01633	aldA_2
34903_B01_01644	group_1328
34903_B01_01658	group_654
34903_B01_01703	dam
34903_B01_01732	group_1330
34903_B01_01742	group_1331
34903_B01_01743	group_1332
34903_B01_01756	group_1333
34903_B01_01757	group_1334
34903_B01_01798	group_655
34903_B01_01840	group_1335
34903_B01_01841	group_1336
34903_B01_01931	group_1337
34903_B01_01933	group_1338
34903_B01_01934	group_1339
34903_B01_01935	group_1340
34903_B01_02002	cycA
34903_B01_02168	group_657
34903_B01_02169	group_1342
34903_B01_02170	group_1343
34903_B01_02171	group_658
34903_B01_02172	fimA_2
34903_B01_02174	group_1345
34903_B01_02181	group_1346
34903_B01_02184	group_1347
34903_B01_02192	group_1348
34903_B01_02196	group_659
34903_B01_02197	group_1349
34903_B01_02198	group_1350
34903_B01_02201	group_285
34903_B01_02215	group_1351
34903_B01_02216	group_1352
34903_B01_02217	group_1353
34903_B01_02218	group_1354
34903_B01_02219	group_1355
34903_B01_02220	group_1356
34903_B01_02227	group_1357
34903_B01_02235	group_1358
34903_B01_02242	group_1359
34903_B01_02246	group_1360
34903_B01_02275	group_1362
34903_B01_02276	group_1363
34903_B01_02298	group_1364
34903_B01_02356	group_1365
34903_B01_02357	group_1366
34903_B01_02358	virB4_3
34903_B01_02370	group_1368
34903_B01_02371	group_1369
34903_B01_02373	group_1370
34903_B01_02376	group_1371
34903_B01_02377	group_1372
34903_B01_02378	group_660
34903_B01_02379	group_1373
34903_B01_02380	group_1374
34903_B01_02381	group_661
34903_B01_02382	group_1375
34903_B01_02383	group_1376
34903_B01_02384	group_1377
34903_B01_02385	group_662
34903_B01_02386	group_663
34903_B01_02387	group_1928
34903_B01_02388	group_1378
34903_B01_02389	traG
34903_B01_02390	traI
34903_B01_02391	traJ
34903_B01_02393	group_1382
34903_B01_02394	traL
34903_B01_02395	traM
34903_B01_02396	group_1385
34903_B01_02397	group_664
34903_B01_02398	korB
34903_B01_02399	group_1387
34903_B01_02400	group_665
34903_B01_02401	group_1388
34903_B01_02402	group_1389
34903_B01_02403	ssbB
34903_B01_02404	group_1391
34903_B01_02405	ptlH
34903_B01_02406	group_1393
34903_B01_02407	group_666
34903_B01_02408	virB4
34903_B01_02409	group_1395
34903_B01_02410	group_1396
34903_B01_02411	group_1397
34903_B01_02412	group_1855
34903_B01_02413	group_1398
34903_B01_02414	group_1399
34903_B01_02415	group_1927
34903_B01_02416	group_1400
34903_B01_02417	group_667
34903_B01_02418	hin
34903_B01_02419	group_1402
34903_B01_02420	group_1403
34903_B01_02421	group_1404
34903_C01_00008	pilE_16
34903_C01_00009	pilE_15
34903_C01_00010	pilE_3
34903_C01_00011	group_1408
34903_C01_00012	group_668
34903_C01_00013	lpxC_4
34903_C01_00015	piiC_1
34903_C01_00019	msrAB_1
34903_C01_00020	msrAB_7
34903_C01_00021	group_672
34903_C01_00022	group_1409
34903_C01_00023	msrAB_5
34903_C01_00092	group_286
34903_C01_00095	group_1410
34903_C01_00164	nagZ
34903_C01_00302	group_1412
34903_C01_00479	cysU
34903_C01_00485	group_1414
34903_C01_00486	group_1415
34903_C01_00487	group_1416
34903_C01_00488	group_1417
34903_C01_00489	group_1418
34903_C01_00500	group_1419
34903_C01_00522	group_2781
34903_C01_00535	group_1420
34903_C01_00540	group_1421
34903_C01_00561	group_674
34903_C01_00563	group_1422
34903_C01_00564	group_1423
34903_C01_00566	group_1424
34903_C01_00593	group_1425
34903_C01_00647	group_89
34903_C01_00672	group_1426
34903_C01_00673	group_1427
34903_C01_00732	group_1428
34903_C01_00733	hsaA
34903_C01_00775	group_1430
34903_C01_00788	group_1431
34903_C01_00863	group_1432
34903_C01_00883	group_1433
34903_C01_00884	group_1434
34903_C01_01088	group_1435
34903_C01_01117	group_675
34903_C01_01146	group_2780
34903_C01_01198	group_1436
34903_C01_01278	group_1437
34903_C01_01279	group_1438
34903_C01_01390	group_1439
34903_C01_01407	mafA1_3
34903_C01_01459	pilV1
34903_C01_01476	group_1442
34903_C01_01511	group_1443
34903_C01_01524	bcr
34903_C01_01527	group_1445
34903_C01_01573	group_1447
34903_C01_01653	group_1448
34903_C01_01655	dnaC_3
34903_C01_01794	group_1449
34903_C01_01795	group_287
34903_C01_01870	group_288
34903_C01_01873	group_1450
34903_C01_01980	group_1451
34903_C01_02135	group_677
34903_C01_02152	group_1452
34903_C01_02237	group_1453
49677_E01_00001	group_1454
49677_E01_00006	pilE_9
49677_E01_00008	group_1456
49677_E01_00009	pilE1_7
49677_E01_00010	group_1458
49677_E01_00075	group_1459
49677_E01_00077	group_1460
49677_E01_00099	group_1461
49677_E01_00171	group_1462
49677_E01_00183	group_1463
49677_E01_00184	group_1464
49677_E01_00187	group_1465
49677_E01_00342	group_1466
49677_E01_00527	group_1467
49677_E01_00577	group_1468
49677_E01_00578	group_1469
49677_E01_00579	group_1470
49677_E01_00580	group_1471
49677_E01_00581	group_1472
49677_E01_00593	group_1473
49677_E01_00595	group_2634
49677_E01_00598	group_2492
49677_E01_00640	group_678
49677_E01_00642	group_1474
49677_E01_00772	group_1475
49677_E01_00804	group_1476
49677_E01_00981	group_1477
49677_E01_00988	group_1478
49677_E01_01005	fhaB
49677_E01_01125	group_1480
49677_E01_01135	group_1481
49677_E01_01136	group_1482
49677_E01_01193	group_1483
49677_E01_01210	group_680
49677_E01_01225	group_1484
49677_E01_01238	group_1485
49677_E01_01259	group_3122
49677_E01_01367	group_3231
49677_E01_01380	group_1486
49677_E01_01420	group_3326
49677_E01_01489	group_1487
49677_E01_01573	piiC_8
49677_E01_01574	group_1488
49677_E01_01608	tbpA
49677_E01_01609	group_1489
49677_E01_01625	group_1490
49677_E01_01702	group_1491
49677_E01_01739	group_1492
49677_E01_01741	group_682
49677_E01_01744	group_1493
49677_E01_01745	group_1494
49677_E01_01748	group_1495
49677_E01_01798	group_1496
49677_E01_01800	group_1497
49677_E01_01803	group_1498
49677_E01_01805	group_683
49677_E01_01806	group_1499
49677_E01_01893	group_1500
49677_E01_01922	group_1501
49677_E01_02026	group_1502
49677_E01_02217	group_1503
49677_E01_02218	group_1504
49677_E01_02220	group_1505
49677_E01_02236	msrAB_4
49677_E01_02238	msrAB_6
49677_E01_02243	group_1508
49677_E01_02244	group_1509
49677_E01_02260	thiB_3
49677_E01_02261	group_1511
49677_E01_02263	ygaD_3
49677_E01_02264	group_1513
49677_E01_02268	group_1514
49677_E01_02269	lpxC_3
49677_F01_00060	piiC_5
49677_F01_00063	opa
49677_F01_00111	group_1517
49677_F01_00224	group_2586
49677_F01_00358	group_1518
49677_F01_00384	group_1519
49677_F01_00592	fimT
49677_F01_00593	group_1521
49677_F01_00594	group_1522
49677_F01_00595	group_1523
49677_F01_00596	fimA
49677_F01_00598	group_147
49677_F01_00614	group_2950
49677_F01_00616	group_685
49677_F01_00631	rusA_1
49677_F01_00672	group_1525
49677_F01_00680	gabD
49677_F01_00701	group_1527
49677_F01_00702	piiC_3
49677_F01_00741	group_1528
49677_F01_00787	group_688
49677_F01_00976	group_1529
49677_F01_01054	group_148
49677_F01_01255	group_1530
49677_F01_01271	group_1531
49677_F01_01310	group_1532
49677_F01_01319	group_1533
49677_F01_01351	pilE_1
49677_F01_01427	group_1534
49677_F01_01464	mafB15
49677_F01_01527	group_1535
49677_F01_01548	group_689
49677_F01_01573	ttdT
49677_F01_01583	tbpB_2
49677_F01_01630	group_705
49677_F01_01676	group_1538
49677_F01_01715	group_690
49677_F01_01804	group_1539
49677_F01_01810	yebE
49677_F01_01859	group_1541
49677_F01_01860	group_1542
49677_F01_01861	group_1543
49677_F01_01880	group_691
49677_F01_01881	pilE_8
49677_F01_02059	group_1544
49677_F01_02077	group_1545
49677_F01_02079	group_291
49677_F01_02210	group_1546
49677_F01_02231	group_1547
49677_G01_00010	group_1548
49677_G01_00011	group_1549
49677_G01_00015	group_1550
49677_G01_00048	group_2003
49677_G01_00050	group_1551
49677_G01_00062	group_1552
49677_G01_00065	group_1553
49677_G01_00086	group_1554
49677_G01_00147	group_1555
49677_G01_00521	group_1556
49677_G01_00522	group_1557
49677_G01_00523	group_2005
49677_G01_00541	group_1558
49677_G01_00545	group_1559
49677_G01_00554	group_692
49677_G01_00738	group_693
49677_G01_00777	group_1560
49677_G01_01009	piiC_10
49677_G01_01091	group_1561
49677_G01_01092	group_1562
49677_G01_01140	group_1563
49677_G01_01170	group_1564
49677_G01_01203	group_1565
49677_G01_01213	group_1566
49677_G01_01216	group_1567
49677_G01_01219	group_1568
49677_G01_01307	group_1569
49677_G01_01308	group_1570
49677_G01_01340	group_1571
49677_G01_01341	group_695
49677_G01_01342	group_1572
49677_G01_01363	group_1573
49677_G01_01395	group_1574
49677_G01_01410	group_292
49677_G01_01444	group_1575
49677_G01_01445	group_1576
49677_G01_01462	group_1577
49677_G01_01584	group_1578
49677_G01_01585	group_1579
49677_G01_01586	group_1580
49677_G01_01674	group_1581
49677_G01_01718	group_1582
49677_G01_01745	group_1583
49677_G01_01746	group_1584
49677_G01_01747	rnr
49677_G01_01792	pilE1_3
49677_G01_01793	group_696
49677_G01_01794	group_1587
49677_G01_01797	group_697
